target,description,type
comment,"A remark, opinion, or expression of thoughts made in response to a topic, article, or discussion.",
look,"It is a synonym for gaze, glance, view, or glimpse.",s
term,"A word or phrase used to describe or represent a concept, idea, or period of time.",
color,The visual quality of the appearance of an object.,
choice," A decision-making concept referring to selecting between multiple options based on personal preferences, ethics, or constraints.",
source,It is the origin of something.,
mom,It is the opposite of dad.,a
director,A person who is in charge of a particular task or a group of people.,
rule,A set of principles or guidelines that govern or regulate behavior or actions.,
campaign,"A series of planned activities aimed at achieving a particular goal or objective, typically involves persuasion or promotion.",
ground,"It is a level surface or base that serves as a foundation for buildings, objects, or structures.",
election,It is the process of choosing officials through a voting process.,
page,"It is a rectangular surface that is used for writing, printing, or displaying information, either manually or electronically.",
test,A written or oral examination used to evaluate a person's knowledge or skills in a particular area.,
patient,It is the opposite of doctor.,a
video,It is a sequence of images recorded on a camera.,
support,A substance or structure that holds up or provides stability or assistance to something or someone else.,
rest,The opposite of work.,a
step,It is a movement we make with our legs when we walk.,
opportunity,It is similar to chance.,s
official,"A person who has the power to enforce laws, regulations, and other legal measures within its jurisdiction.",
oil,It is related to gas.,r
call,When you talk to someone on the phone or when you visit someone quickly.,
organization,"It's a synonym for company, institution, or system.",s
county,A specific geographic area or administrative division within a larger region.,
future,It is the opposite of the past.,a
dad,It is the way you can call your father informally.,
industry,A sector or system of economic activity that is concerned with the production and distribution of goods and services for profit.,
second,It is a measure of time smaller than a minute.,
list,A series of items that are arranged in a particular order.,
stuff,"It is an informal way to refer to substance, equipment, goods, and other things.",
figure,It's a representation of an object or person using geometric shapes and symbols.,
attention,"A synonym for focus, concentration, or consideration.",s
risk,"It is a synonym for danger, hazard, or possibility.",s
fire,A synonym for flame.,s
dog,It is the opposite of cat.,a
hair,"A soft, fibrous growth typically found on the head, face, arms, and legs of humans.",
condition,A state or circumstances in which a person or thing finds itself.,
wall,A vertical surface that separates rooms in a building.,
daughter,It is the antonym for son.,a
deal,It is a synonym for arrangement or agreement.,s
author,"It is similar to creator, or writer.",s
truth,It is the antonym of lie.,a
husband,It is the opposite for wife.,a
period,A length of time with a specific start and end.,
series,"A sequence of related events, objects, or items that follow one another in a particular order or pattern.",
order,A specific arrangement or sequence of items or actions.,
officer,"A person in a position of authority, often responsible for enforcing laws, maintaining order, or carrying out specific duties within an organization or government agency.",
land,"A synonym for country, territory, or field.",s
computer,"A machine that does math, stores information, and lets you do stuff on the internet.",
thought,It is similar to idea.,s
economy,How a place makes money and buys and sells stuff.,
goal,It is a synonym of aim or purpose.,s
bank,It is an institution where people store or borrow money.,
behavior,The way people act or conduct themselves.,
act,It is a synonym of deed.,s
north,It is the opposite of south.,a
blood,The red fluid that circulates in the veins and arteries of humans and other animals.,
culture,"The shared beliefs, customs, practices, and values of a group of people.",
top,It is the opposite of bottom.,
language,The way people talk and write to understand each other.,
window,A glass hole in the wall that lets in light and lets you see outside.,
response,It is a synonym for answer or reaction.,a
population,"The total number of people living in a specific area, region, or country at a given time.",
tree,A big plant with a long trunk and green leafs on top.,
park,"A place with grass, trees, and benches where people go to relax and play.",
worker,A person who performs tasks or labor.,
earth,It is a synonym for the world.,s
cause,It is a synonym for reason or motive.,s
race,"A competition involving speed, endurance, or skill, typically between individuals or teams.",
letter,A written or printed message used for communication.,
gun,A device that shoots bullets.,
course,A series of classes or lessons that teach you something.,
hell,The opposite of heaven.,a
answer,It is the opposite of question.,a
nature,"The world around us, including things like animals, plants, mountains, rivers, and the sky.",
administration,"The people who make rules and decisions for a place, like a school or a country.",
message,Something you write or say to give someone information or talk to them.,
song,It is related to music.,r
congress,A group of people who make important decisions and laws for a country.,
attack,It is the opposite of defense or protection.,a
amount,A synonym for number or bulk.,s
analysis,"It is similar to investigation, study, or scrutiny.",s
store,It is a synonym for shop.,s
defense,The opposite of attack.,a
bill,It is a synonym for check or receipt.,s
cell,A tiny part of living things that does different jobs in the body.,
performance,It is similar to a show.,s
hospital,A place where people are treated for illness.,
bed,A place to sleep.,
board,"A flat surface that you can use for writing, drawing, or putting things on.",
century,A period of hundred years.,
summer,It is a season of the year that comes after spring and before autumn.,
material,It is a synonym for substance.,s
individual,It is similar to the word person.,s
example,A thing you show to help people understand or know what you mean.,
animal,"A living creature that is not a plant, often moving around, eating, and breathing.",
factor,Something that can influence or affect a situation or outcome.,
sir,An opposite for madam.,a
agency,It is a synonym for bureau or company.,s
help,"It is a synonym for aid, support, or cooperation.",s
mile,A measurement of distance that is longer than a kilometer and is used to measure how far something is.,
statement,Something someone says or writes to tell others about something or express their thoughts.,
democrat,A person who belongs to a political group that often supports progressive policies.,
career,A job that you do for a long time and try to get better at.,
dollar,It is a currency used in the United States.,
sex,"The biological and physical differences between males and females, often related to reproduction.",
south,It is the opposite of north.,a
decade,It is a period of time that encompasses 10 years.,
bit,A tiny piece or small portion of something.,
sister,It is the opposite of brother.,a
quality,How good or bad something is.,
press,"A machine or device that applies pressure to flatten, shape, or print on objects.",
sound,It is similar to noise.,s
plant,A living organism that grows in the ground.,
movement,The act of going from one place to another or doing something with your body.,
scene,"It is a synonym to place, sight, or arena.",s
section,It is similar to compartment or part.,s
treatment,The care or medical help someone gets when they're sick or hurt to make them feel better.,
benefit,"It is a synonym for profit, gain, or advantage.",s
west,It is the opposite of east.,a
candidate,Someone who wants to get a job or be chosen for something like an election.,
approach,The way you get close to something or someone.,
resource,"It is similar to capital, wealth, or means.",s
sort,It is similar to type or category.,s
size,How big or small something is.,
knowledge,It is similar to expertise or intelligence.,s
sport,A physical activity or game that people play to exercise.,
tv,"A box with a screen that shows pictures and plays sound, like cartoons and movies.",
loss,It is opposite of gain.,a
note,A piece of paper with words or pictures on it.,
meeting,It is similar to encounter or rendezvous.,s
skill,It is similar to competence or ability.,s
card,"A small, flat piece of material used for various purposes like playing games, making payments, or storing information.",
feeling,It is a synonym of emotion or sensation.,s
degree,A level or measurement that tells how hot or cold something is or how much you know about something.,
crime,An action that is against the law and can lead to punishment.,
sign,"A picture or words that tell you something, like where to go or what to do.",
vote,A choice made by people to pick their favorite person or thing in a contest or decision.,
king,It is the antonym of queen.,a
box,"A square or rectangular container with sides and a lid, used for storing or transporting items.",
disease,It is similar to illness or disorder.,s
lady,A polite way to refer to a grown-up girl or woman.,
design,A plan or arrangement of how something looks or works.,
concern,It is a synonym of worry.,s
ball,"A small, round object that people use to play games like soccer or basketball.",
east,It is the opposite of west.,a
network,"A web of connected things, such as computers or phones, that can talk to each other and share information.",
success,It is the opposite of failure.,a
district,"It is similar to area, neighborhood, or region.",s
cup,"A container for holding liquids, usually with a handle and a round shape.",
growth,Getting bigger or getting more of something over time.,
standard,A regular way of doing something that everyone agrees on.,
fan,It is a synonym for air conditioner or ventilator.,s
theory,It is the opposite of practice.,a
staff,It is a synonym for crew or personell.,s
september,It is the first month in autumn.,
strategy,It is similar to plan or program.,s
property,"Stuff that belongs to someone, like a house, car, or things they own.",
authority,The power or right to make decisions and give orders.,
method,It is similar to approach or technique.,s
region,"It is similar to area, district, territory, or land.",s
impact,"It is a synonym of influence, shock, or brunt.",s
committee,"It is similar to board, panel, or jury.",s
dream,It is something you see in your sleep.,
training,It is similar to workour or exercising.,s
shit,It is similar to crap or poop.,s
option,It is similar to choice or opportunity.,s
opinion,"It is a synonym of viewpoint, assumption, or impression.",s
interview,A conversation where someone asks questions to learn about you or your ideas.,
play,An activity or performance in the theater.,
union,When workers come together to ask for better pay and working conditions from their boss.,
professor,It is similar to teacher or lecturer.,s
pressure,"The force pushing on something, like when you squeeze something tightly.",
purpose,It is a synonym for aim or goal.,s
stage,A raised platform where performers or speakers stand in front of an audience.,
sun,It is the opposite of the Moon.,a
pain,It is the opposite of pleasure or comfort.,a
artist,"Someone who makes beautiful or interesting things like paintings, drawings, or sculptures.",
employee,It is the opposite of employer.,a
account,A record that keeps track of your money or things you do.,
fund,"Money you save or collect to use for a specific purpose, like buying something or helping others.",
environment,It is similar to habitat or environment.,s
version,It is a synonym for form or variant.,s
shot,A single act of firing a gun or a small amount of liquid medicine given with a needle.,
reality,"The way things actually are, not just how we imagine them to be.",
club,A group of people who like the same things and do activities together.,
justice,The fairness of the law.,
river,"A long, flowing stream of water that usually goes through land.",
brain,"The part inside your head that helps you think, learn, and remember things.",
memory,A mental image of something that has happened in the past.,
rock,A hard and solid piece of the Earth's surface.,
talk,"A synonym for discussion, chat, or conversation.",s
camera,A device that takes pictures or videos.,
detail,The small and specific parts or information that make up a bigger thing.,
challenge,A difficult problem or situation that requires a solution.,
argument,It is similar to a discussion or debate.,s
weapon,A tool for killing or destroying something.,
station,A place where trains or buses stop.,
island,A small land mass surrounded by water.,
trouble,A synonym of issue or problem.,s
conversation,"It is a synonym for discussion, chat, or talk.",s
date,"When two people go somewhere together, like a restaurant or a movie, to get to know each other better.",
public,"A group of people who are not related but live in the same place, like a town or city.",
army, A military force.,
charge,The amount of money you pay for something or the action of rushing towards someone or something.,
seat,A place to sit.,
writer,A synonym for author.,s
credit,A loan given to a person or organization in return for a promise to repay it.,
marriage,An antonym for divorce.,a
operation,It is a medical procedure.,
agent,"Someone who does things for others, like a detective or a person who helps you buy a house.",
access,It is similar to entry or admission.,s
bar,A place where people go to get drinks and socialize.,
debate,It is a synonym for dispute or argument.,s
leg,An opposite of arm.,s
glass,A transparent material that can be used to make windows.,
adult,A person who is older than a child.,
trade,It is a synonym for commerce.,s
review,A critical examination of a book or film.,
association,The process of forming a group of people with similar interests.,
measure,"A way of determining the size, quantity, or extent of something.",
stock,A share in the ownership of a company.,
gas,A substance related to oil.,r
lawyer,A person who helps others with legal matters and represents them in court if needed.,
production,The process of making things or providing services to meet the needs of society.,
management,The process of directing and controlling the activities of an organization.,
victim,"Someone who has been harmed or negatively affected by a situation, event, or another person's actions.",
cancer,A disease that can be fatal if not treated.,
speech,A series of words that are spoken.,
trial,When people go to court to figure out if someone did something wrong or not.,
item,It is a synonym for piece or article.,s
weight,How heavy something is.,
citizen,A person who belongs to a particular country and has rights and responsibilities there.,
trip,A synonym for journey.,s
executive,A top boss in a company or organization who makes important decisions and manages things.,
customer,A synonym for client.,s
manager,It is a synonym for director or administrator.,s
conference,A meeting where people come together to talk and share ideas or information.,
base,The bottom or foundation of something.,
sunday,It is the last day of the week.,
past,It is the antonym for future.,
majority,It is the antonym of minority.,a
peace,It is the antonym of war.,a
dinner,It is the opposite of breakfast.,a
partner,"A synonym for ally, companion, or spouse.",s
user,"A person who interacts with and uses a device, service, or system, like a computer or a website.",
bag,A container made of fabric or material used for carrying things.,
owner,Someone who has something and it belongs to them.,
voter,A person who participates in voting or election by choosing their favorite candidates.,
tool,It is a synonym for instrument or device.,s
june,It is the first month of summer.,
may,It is the last month of spring.,
mountain,A really tall and steep hill.,
range,"A place where you can shoot, play, or find things that are not too close but also not too far away.",
coach,A synonym for trainer.,s
fear,"It is an emotion similar to panic, anxiety, and scare.",s
friday,It is the fifth day of the week.,
attorney,A person who helps you with legal problems and goes to court for you if needed.,
expert,Someone who knows a lot about something.,
structure,It is similar to architecture or organization.,s
budget,A plan for how much money you can spend and what you can spend it on.,
insurance,Paying money to a company so they can help you if something bad happens to your stuff or you.,
text,"A written message, often sent electronically through a device like a phone or computer.",
freedom,It is the opposite of dependence or restriction.,a
reader,The opposite of writer.,a
style,The way something is designed or done that makes it unique or attractive.,
march,It is the first month of spring.,
machine,A mechanical device designed to perform specific tasks or work.,
november,It is the last month of autumn.,
generation,"A group of people who were born and live around the same time, like parents, children, and grandchildren in a family.",
income,It is a synonym for revenue or salary.,s
sea,It is similar to lake or ocean.,s
mouth,"The part of your face that you use to eat, speak, and breathe, consisting of lips, teeth, and a tongue inside.",
web,"A place on the internet where you can find information, connect with people, or do things like shopping or playing games.",
threat,It is a synonym of danger or intimidation.,s
solution,It is the opposite of problem.,a
scientist,It is a synonym for researcher.,s
investigation,"A synonym for inspection, research, or examination.",s
senator,A person who works in the government.,
unit,"A single entity or object that is separate and distinct, often part of a larger whole or used as a standard measure.",
photograph,It is similar to image or picture.,s
july,It is the second month of summer.,
television,"A device that shows moving pictures and sound, often used for entertainment and information.",
radio,A device that plays music and talks from far away using special waves you can't see.,
senate,A group of people in the government who make important decisions and pass laws.,
violence,Harming or hurting someone or something using physical force or strong emotions like anger.,
feature,"It is a synonym for quality, aspect, or characteristic.",s
audience,"The group of people who are watching, listening to, or paying attention to something like a performance, presentation, or event.",
evening,It is the opposite of morning.,a
hall,"A space within a building, typically used for passage or as a room for various purposes like gatherings, events, or meetings.",
task,A synonym for assignment or duty.,s
score,A synonym for grade or mark.,s
skin,The outer covering of your body that helps protect you and can have different colors and textures.,
spring,It is a season of the year that comes after winter and before summer.,
safety,It is a synonym for security.,s
weekend,The opposite of weekday.,a
